nama_sayuran,min_mdpl,max_mdpl,min_ukuran,max_ukuran,penjelasan
Selada,200,1800,0.1,0.3,"Selada adalah tanaman daun yang cocok ditanam di dataran rendah hingga tinggi, terutama pada suhu sejuk. Tanaman ini memiliki pertumbuhan cepat dan cocok untuk panen cepat. Untuk menanam selada, gunakan tanah yang gembur dan kaya nutrisi, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari yang cukup. Lakukan penyiraman rutin untuk menjaga kelembapan tanah, tetapi hindari genangan air agar akar tidak membusuk."
Labu Siam,0,1500,1,3,"Labu Siam adalah tanaman yang produktif dan mudah tumbuh, cocok untuk dataran rendah hingga tinggi. Tanaman ini menghasilkan buah yang serbaguna dan banyak digunakan dalam masakan. Untuk menanam labu siam, siapkan lahan dengan tanah yang subur, tambahkan pupuk organik seperti kompos, dan pasang ajir atau penyangga untuk mendukung tanaman merambat. Pastikan Anda menyiram secara rutin dan menjaga tanah tetap lembap untuk hasil panen yang maksimal."
Terong,0,1500,0.5,1.5,"Terong merupakan tanaman yang mudah tumbuh dan sangat produktif, cocok untuk dataran rendah hingga menengah. Tanaman ini menghasilkan buah dengan ukuran dan rasa yang bervariasi, sesuai dengan jenisnya. Untuk menanam terong, siapkan tanah gembur yang kaya nutrisi, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari langsung. Siram secara teratur, terutama di pagi hari, dan berikan penyangga agar batang tidak patah saat berbuah lebat."
Bayam Merah,0,500,0.2,0.5,"Bayam Merah adalah tanaman yang kaya nutrisi dan cocok untuk dataran rendah hingga menengah, hingga ketinggian 500 mdpl. Dengan warnanya yang menarik, bayam merah sering digunakan untuk masakan dan dekorasi makanan. Untuk menanam bayam merah, gunakan tanah yang gembur dan kaya akan pupuk organik. Pastikan lokasi mendapat cukup sinar matahari, dan siram secara teratur agar tanaman tumbuh subur dan sehat."
Pakcoy,200,1500,0.1,0.3,"Pakcoy adalah salah satu jenis sayuran hijau yang populer, cocok ditanam di dataran rendah hingga menengah. Tanaman ini tumbuh cepat dan menghasilkan daun yang segar serta kaya akan nutrisi. Untuk menanam pakcoy, gunakan tanah yang gembur dengan pH netral, tambahkan kompos atau pupuk kandang, dan pilih lokasi dengan sinar matahari cukup. Pastikan Anda menyiram secara rutin untuk menjaga kelembapan tanah."
Zucchini,0,1000,0.4,0.9,"Zucchini adalah tanaman yang cocok untuk dataran rendah hingga menengah dengan iklim hangat dan tanah subur. Tanaman ini menghasilkan buah berwarna hijau yang kaya serat dan bergizi. Untuk menanam zucchini, siapkan tanah gembur dengan pH netral, tambahkan pupuk organik seperti kompos, dan pilih lokasi dengan sinar matahari langsung minimal 6 jam sehari. Siram secara rutin untuk menjaga kelembapan tanah, dan pastikan ada cukup ruang bagi tanaman untuk tumbuh dengan optimal."
Timun,0,1500,0.3,1.5,"Timun adalah tanaman serbaguna yang tumbuh baik di dataran rendah hingga menengah. Tanaman ini memiliki pertumbuhan cepat dan menghasilkan buah yang segar, cocok untuk konsumsi sehari-hari. Untuk menanam timun, gunakan tanah subur yang kaya humus, tambahkan pupuk kandang atau kompos, dan sediakan ajir untuk mendukung tanaman merambat. Pastikan area tanam mendapat sinar matahari yang cukup dan siram tanaman secara teratur agar hasil panen maksimal."
Pepaya,0,800,1.5,3,"Pepaya adalah tanaman tropis yang sangat produktif dan cocok untuk dataran rendah. Tanaman ini mudah tumbuh dan menghasilkan buah yang manis serta kaya nutrisi. Untuk menanam pepaya, siapkan tanah subur dengan pH netral, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari penuh. Pastikan Anda menyiram secara teratur dan memberikan jarak antar tanaman untuk mendukung pertumbuhan akar yang baik."
Jahe,0,1500,0.3,0.6,"Jahe adalah tanaman rimpang yang tumbuh baik di dataran rendah hingga tinggi, dengan iklim hangat dan tanah yang gembur. Tanaman ini memiliki nilai ekonomis tinggi dan banyak manfaat kesehatan. Untuk menanam jahe, siapkan tanah yang subur, tambahkan pupuk organik seperti kompos, dan pastikan tanah tetap lembap namun tidak tergenang. Gunakan rimpang jahe yang berkualitas sebagai bibit, dan tanam di tempat yang terlindungi dari sinar matahari langsung."
Kunyit,0,1500,0.3,0.9,"Kunyit adalah tanaman rempah yang mudah tumbuh di dataran rendah hingga tinggi dengan tanah subur dan iklim lembap. Tanaman ini menghasilkan rimpang yang kaya akan manfaat kesehatan. Untuk menanam kunyit, gunakan tanah yang gembur dan kaya nutrisi, tambahkan pupuk organik, dan pastikan lokasi mendapatkan sinar matahari sebagian. Siram secara teratur untuk menjaga kelembapan tanah, terutama di awal pertumbuhan."
Ubi Jalar,0,1200,0.3,0.6,"Ubi jalar adalah tanaman yang cocok untuk berbagai ketinggian, dari dataran rendah hingga tinggi. Tanaman ini menghasilkan umbi yang kaya karbohidrat dan serat. Untuk menanam ubi jalar, siapkan tanah yang gembur dengan pH sedikit asam hingga netral, tambahkan pupuk organik, dan pastikan lokasi mendapat sinar matahari penuh. Gunakan bibit berkualitas, dan lakukan penyiraman teratur untuk mendukung pertumbuhan umbi yang optimal."
Lobak,800,1800,0.2,0.4,"Lobak adalah tanaman akar yang cocok untuk dataran tinggi, tumbuh subur di suhu dingin dengan tanah gembur. Tanaman ini menghasilkan akar yang kaya serat dan bergizi. Untuk menanam lobak, gunakan tanah subur yang dicampur dengan pupuk organik, dan pastikan bebas dari kerikil agar akar dapat tumbuh lurus. Berikan penyiraman secara teratur untuk menjaga kelembapan tanah, dan pilih lokasi dengan sinar matahari cukup."
Kailan,200,1500,0.3,0.6,"Kailan adalah sayuran hijau yang tumbuh baik di dataran rendah hingga menengah, cocok untuk iklim tropis. Tanaman ini kaya akan serat dan nutrisi, menjadikannya favorit untuk hidangan sehat. Untuk menanam kailan, gunakan tanah yang gembur dan subur, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari langsung. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan daun tua agar pertumbuhan tanaman tetap optimal."
Paria,0,1000,1,2,"Paria atau pare adalah tanaman merambat yang tumbuh baik di dataran rendah hingga tinggi. Tanaman ini menghasilkan buah dengan rasa pahit yang kaya manfaat kesehatan. Untuk menanam paria, siapkan tanah yang subur, tambahkan pupuk organik, dan pasang ajir atau lanjaran untuk mendukung pertumbuhan tanaman. Pilih lokasi dengan sinar matahari penuh, dan siram secara teratur agar tanaman tumbuh subur dan menghasilkan buah lebat."
Selasih,0,500,0.2,0.3,"Selasih adalah tanaman herbal yang cocok untuk dataran rendah hingga tinggi dengan pertumbuhan cepat dan aroma khas. Tanaman ini sering digunakan untuk masakan dan minuman. Untuk menanam selasih, gunakan tanah yang subur dengan pH netral, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari cukup. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan untuk merangsang pertumbuhan daun baru."
Okra,0,1200,0.6,1.5,"Okra adalah tanaman yang tumbuh baik di dataran rendah hingga menengah, dengan hasil buah yang kaya serat dan nutrisi. Tanaman ini cocok untuk berbagai jenis masakan dan memiliki pertumbuhan yang cepat. Untuk menanam okra, gunakan tanah gembur dengan pH netral, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari penuh. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan daun tua untuk mendukung pertumbuhan buah yang optimal."
Kecipir,0,1500,1,2.5,"Kecipir adalah tanaman merambat yang produktif dan cocok ditanam di dataran rendah hingga menengah. Tanaman ini menghasilkan polong yang kaya protein dan mudah diolah menjadi berbagai masakan. Untuk menanam kecipir, gunakan tanah subur yang kaya bahan organik, tambahkan pupuk kandang, dan sediakan ajir atau lanjaran sebagai tempat rambatan. Pastikan tanaman mendapat sinar matahari langsung, dan siram secara teratur agar tanaman tumbuh subur."
Daun Bawang,200,1800,0.2,0.5,"Daun bawang adalah tanaman yang mudah tumbuh di berbagai ketinggian, dari dataran rendah hingga tinggi. Tanaman ini sering digunakan sebagai bumbu masakan karena aromanya yang khas. Untuk menanam daun bawang, siapkan tanah yang gembur dengan pH netral, tambahkan pupuk organik, dan pastikan lokasi mendapat sinar matahari cukup. Siram tanaman secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan daun secara berkala untuk mempercepat pertumbuhan tunas baru."
Cabe Rawit,200,1500,0.3,0.8,"Cabai rawit adalah tanaman yang cocok untuk berbagai ketinggian, dengan buah kecil yang pedas dan banyak digunakan dalam masakan. Tanaman ini sangat produktif dan mudah dirawat. Untuk menanam cabai rawit, gunakan tanah yang subur dan gembur, tambahkan pupuk organik, dan pilih lokasi yang mendapat sinar matahari penuh. Siram secara teratur, terutama di pagi hari, dan pasang penyangga untuk mendukung batang tanaman saat berbuah lebat."
Sawi Putih,0,1200,0.2,0.4,"Sawi putih adalah tanaman yang tumbuh subur di dataran tinggi, dengan daun berlapis yang kaya serat dan nutrisi. Tanaman ini ideal untuk masakan seperti sup dan tumisan. Untuk menanam sawi putih, gunakan tanah yang gembur dengan pH sedikit asam hingga netral, tambahkan kompos atau pupuk kandang, dan pastikan area tanam mendapat sinar matahari langsung. Siram tanaman secara teratur, dan berikan jarak antar tanaman agar pertumbuhannya optimal."
Kembang Kol,500,1200,0.3,0.5,"Kembang kol adalah tanaman dataran tinggi yang ideal untuk daerah dengan suhu sejuk. Tanaman ini menghasilkan bunga berwarna putih yang kaya vitamin dan serbaguna dalam masakan. Untuk menanam kembang kol, siapkan tanah yang subur dengan pH netral hingga sedikit asam, tambahkan pupuk organik, dan pilih lokasi dengan sinar matahari cukup. Pastikan Anda menyiram secara teratur, terutama saat tanaman sedang berbunga, untuk mendapatkan hasil panen yang berkualitas."
Jagung,0,1000,1.5,2.5,"Jagung adalah tanaman serbaguna yang dapat tumbuh di berbagai ketinggian, baik dataran rendah maupun tinggi. Tanaman ini menghasilkan biji yang kaya karbohidrat dan serat, cocok untuk konsumsi harian. Untuk menanam jagung, gunakan tanah yang gembur dan kaya bahan organik, tambahkan pupuk kandang, dan pastikan lokasi mendapat sinar matahari penuh. Lakukan penyiraman secara teratur, dan tanam dalam barisan agar hasil panen lebih maksimal."
Kacang Panjang,200,700,0.6,0.2,"Kacang panjang adalah tanaman merambat yang produktif, cocok untuk dataran rendah hingga menengah. Tanaman ini menghasilkan polong panjang yang kaya nutrisi dan sering digunakan dalam berbagai masakan. Untuk menanam kacang panjang, gunakan tanah gembur yang subur, tambahkan pupuk organik, dan sediakan ajir atau lanjaran sebagai tempat rambatan. Pastikan area tanam mendapat cukup sinar matahari dan lakukan penyiraman teratur agar tanaman tumbuh optimal."
Pucuk Labu,300,800,0.5,1,"Pucuk labu adalah tanaman merambat yang tumbuh subur di dataran rendah hingga menengah. Tanaman ini menghasilkan tunas dan daun muda yang kaya serat dan sering digunakan dalam masakan. Untuk menanam pucuk labu, siapkan tanah subur yang kaya pupuk organik, tambahkan kompos, dan sediakan ajir atau lanjaran untuk mendukung tanaman merambat. Pastikan Anda menyiram secara rutin untuk menjaga kelembapan tanah dan memaksimalkan pertumbuhan tunas baru."
Kacang Merah,500,1500,0.8,1,"Kacang merah adalah tanaman produktif yang tumbuh baik di dataran tinggi dengan suhu sejuk. Tanaman ini menghasilkan biji yang kaya protein dan serat, cocok untuk berbagai masakan. Untuk menanam kacang merah, gunakan tanah gembur yang subur, tambahkan pupuk organik seperti kompos, dan pilih lokasi yang mendapat sinar matahari penuh. Siram secara teratur untuk menjaga kelembapan tanah, dan panen kacang saat bijinya matang sepenuhnya."
Bawang Merah,0,1500,0.2,0.5,"Bawang merah adalah tanaman yang cocok untuk ditanam di berbagai ketinggian, dari dataran rendah hingga tinggi. Tanaman ini memiliki umbi yang kaya rasa dan sering digunakan dalam berbagai masakan. Untuk menanam bawang merah, gunakan tanah gembur dengan pH netral dan kaya bahan organik. Tambahkan pupuk kompos atau pupuk kandang, dan pastikan tanaman mendapat sinar matahari penuh. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan daun yang sudah tua agar tanaman tumbuh optimal."
Bawang Putih,800,2000,0.1,0.6,"Bawang putih adalah tanaman umbi yang tumbuh baik di dataran rendah hingga tinggi dengan iklim sejuk. Tanaman ini menghasilkan umbi yang kaya manfaat kesehatan dan sering digunakan dalam masakan. Untuk menanam bawang putih, pilih tanah yang gembur, kaya humus, dan memiliki pH sedikit asam. Pastikan tanah memiliki drainase yang baik, dan pilih lokasi yang mendapat sinar matahari cukup. Siram secara teratur, tetapi hindari genangan air yang dapat menyebabkan pembusukan akar."
Kembang Sepatu,0,1500,1,4,"Kembang sepatu adalah tanaman hias yang tumbuh baik di dataran rendah hingga tinggi. Tanaman ini menghasilkan bunga besar yang indah dan cocok sebagai tanaman dekoratif. Untuk menanam kembang sepatu, pilih tanah yang gembur dengan pH netral, tambahkan pupuk organik seperti kompos, dan pastikan tanaman mendapatkan sinar matahari langsung minimal 4–6 jam sehari. Siram secara teratur dan pastikan tanah tetap lembap, namun hindari genangan air agar akar tidak membusuk."
Daun Singkong,0,1500,1,4,"Daun singkong adalah sumber makanan bergizi yang mudah tumbuh di dataran rendah hingga tinggi. Tanaman ini kaya serat dan sering digunakan dalam masakan tradisional. Untuk menanam daun singkong, pilih tanah yang subur dan gembur, tambahkan pupuk organik untuk memperkaya kandungan nutrisi tanah. Tanaman ini membutuhkan sinar matahari langsung untuk tumbuh baik, jadi pastikan lokasi mendapat cukup cahaya matahari. Siram secara teratur untuk menjaga kelembapan tanah dan hasilkan daun yang segar."
Singkong,0,1500,1,5,"Singkong adalah tanaman yang cocok untuk dataran rendah hingga menengah dan menghasilkan umbi yang kaya karbohidrat. Tanaman ini tahan terhadap cuaca panas dan kering. Untuk menanam singkong, pilih tanah yang gembur dan kaya bahan organik, tambahkan pupuk kandang atau kompos untuk memperkaya nutrisi tanah. Tanaman ini membutuhkan sinar matahari penuh, jadi pastikan lokasi mendapat cukup cahaya. Siram secara teratur dan beri jarak antar tanaman agar umbi bisa tumbuh dengan optimal."
Kacang Hijau,300,700,0.25,0.5,"Kacang hijau adalah tanaman yang mudah tumbuh dan cocok untuk berbagai ketinggian, dari dataran rendah hingga tinggi. Tanaman ini menghasilkan biji yang kaya protein dan sering digunakan dalam berbagai masakan. Untuk menanam kacang hijau, pilih tanah yang subur dan gembur, tambahkan pupuk organik, dan pilih lokasi yang mendapat sinar matahari penuh. Pastikan tanah tetap lembap namun tidak tergenang air, dan lakukan pemangkasan untuk menjaga tanaman tetap sehat dan produktif."
Kacang Tanah,200,1000,0.2,0.6,"Kacang tanah adalah tanaman legum yang tumbuh baik di dataran rendah hingga menengah. Tanaman ini menghasilkan biji yang kaya protein dan sering digunakan dalam berbagai masakan. Untuk menanam kacang tanah, siapkan tanah yang gembur dengan pH netral, tambahkan pupuk organik untuk memperkaya tanah. Tanaman ini membutuhkan sinar matahari penuh, jadi pastikan lokasi mendapat cukup cahaya. Siram secara teratur untuk menjaga kelembapan tanah, dan pastikan ada cukup ruang bagi tanaman untuk tumbuh dengan optimal."
Basil Thailand,0,1000,0.3,0.7,"Basil Thailand adalah tanaman herbal yang tumbuh baik di dataran rendah hingga tinggi, dengan aroma yang kuat dan sering digunakan dalam masakan Asia. Tanaman ini membutuhkan sinar matahari yang cukup untuk tumbuh subur. Untuk menanam basil Thailand, gunakan tanah yang gembur dengan pH netral, tambahkan pupuk organik, dan pilih lokasi yang mendapat sinar matahari langsung minimal 6 jam sehari. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan secara berkala untuk merangsang pertumbuhan daun baru."
Moringa,0,2000,3,12,"Moringa adalah tanaman yang sangat bergizi dan cocok untuk ditanam di dataran rendah hingga menengah. Tanaman ini menghasilkan daun yang kaya vitamin dan sering digunakan sebagai bahan makanan. Untuk menanam moringa, pilih tanah yang gembur dan kaya bahan organik, pastikan lokasi mendapat sinar matahari penuh, dan siram secara teratur namun hindari genangan air. Moringa juga tahan terhadap kondisi kering, tetapi penyiraman yang cukup akan mendukung pertumbuhannya."
Pucuk Merah,0,1000,2,5,"Pucuk merah adalah tanaman hias yang tumbuh baik di dataran rendah hingga menengah, dengan warna daun merah yang indah. Tanaman ini sering digunakan untuk penghijauan dan dekorasi taman. Untuk menanam pucuk merah, pilih tanah yang subur dan gembur, tambahkan pupuk organik untuk memperkaya tanah, dan pastikan tanaman mendapatkan sinar matahari langsung. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan untuk merawat bentuk tanaman."
Pucuk Paku,0,1500,0.1,0.3,"Pucuk paku adalah tanaman yang mudah tumbuh di dataran rendah hingga tinggi, dengan daun muda yang lezat dan kaya gizi. Tanaman ini sering digunakan dalam masakan tradisional. Untuk menanam pucuk paku, pilih tanah yang gembur dan subur, tambahkan pupuk organik seperti kompos, dan pastikan lokasi mendapat cukup sinar matahari. Siram secara teratur untuk menjaga kelembapan tanah, dan lakukan pemangkasan untuk mempercepat pertumbuhan tunas baru yang segar."
